winsorized_Adult_Mortality,winsorized_Infant_Deaths,winsorized_Alcohol,winsorized_Percentage_Exp,winsorized_HepatitisB,winsorized_Under_Five_Deaths,winsorized_Polio,winsorized_Tot_Exp,winsorized_Diphtheria,winsorized_HIV,winsorized_GDP,winsorized_Population,winsorized_thinness_1to19_years,winsorized_thinness_5to9_years,winsorized_Income_Comp_Of_Resources,winsorized_Schooling,BMI
144.0,44,7.32,83.165,96.0,49,96.0,8.32,93.0,0.1,1226.617,17153357.0,2.7,2.7,0.747,15.2,55.3
99.0,1,4.17,112.949,94.0,1,94.0,8.23,94.0,0.1,462.15,46324.0,2.2,2.2,0.712,11.9,47.3
343.0,7,0.56,6.914,91.0,10,95.0,3.5,93.0,1.9,232.795,3738265.0,9.7,9.7,0.27,4.7,13.3
471.0,3,5.28,294.657,83.0,4,82.0,6.52,79.0,3.2,2482.369,1986535.0,14.2,14.3,0.554,11.7,26.5
249.0,31,0.03,75.258,59.0,38,63.0,3.0,59.0,0.1,2351.812,17153357.0,5.4,5.1,0.631,10.2,53.2
14.0,10,4.69,570.453,93.0,13,92.0,5.36,93.0,0.3,4166.934,29157.0,1.2,1.2,0.706,13.3,51.5
211.0,0,2.06,52.124,99.0,0,98.0,3.84,98.0,0.1,3749.94,827411.0,4.1,3.8,0.695,14.0,55.9
179.0,0,6.5,1109.855,18.0,0,91.0,5.29,45.0,0.4,8787.614,13281.0,5.9,6.3,0.772,12.5,42.0
146.0,4,2.29,127.638,98.0,5,98.0,3.76,98.0,0.1,1644.816,19668.0,15.4,15.5,0.725,13.2,17.9
153.0,3,8.4,412.432,99.0,4,98.0,5.5,98.0,0.1,4492.728,17153357.0,2.5,2.8,0.777,14.6,53.1
194.0,0,0.01,8.198,96.0,0,96.0,8.6,96.0,0.5,138.95,182889.0,5.9,5.7,0.553,10.8,28.5
158.0,61,7.21,526.378,96.0,68,99.0,8.24,99.0,0.1,8787.614,17153357.0,3.0,3.0,0.704,13.3,5.3
76.0,1,2.53,199.934,98.0,1,93.0,7.13,93.0,0.1,2152.143,6289.0,1.1,1.1,0.845,15.2,58.3
477.0,3,4.89,457.72,83.0,4,86.0,7.32,86.0,3.2,3573.146,232196.0,13.1,13.1,0.565,11.6,27.9
174.0,6,5.93,857.131,74.0,7,85.0,4.26,85.0,0.4,5968.877,115495.0,3.3,3.2,0.706,13.1,55.8
167.0,20,0.26,80.588,18.0,25,45.0,5.89,45.0,0.2,681.793,17153357.0,16.1,16.7,0.538,12.3,17.4
45.0,44,0.34,72.385,18.0,78,45.0,5.72,45.0,3.2,454.677,97143.0,1.7,1.6,0.301,5.6,15.1
27.0,0,0.48,18.217,91.0,0,95.0,1.52,91.0,0.1,1493.165,12652.0,0.1,0.1,0.584,11.9,75.2
77.0,2,11.92,405.448,96.0,2,96.0,8.12,96.0,0.1,2651.717,17153357.0,0.6,0.5,0.837,15.8,6.5
45.0,29,3.86,45.571,63.0,45,63.0,1.12,64.0,2.2,358.827,615417.0,8.9,8.9,0.357,8.2,2.2
288.0,11,0.82,20.533,66.0,14,79.0,4.36,73.0,1.1,1166.663,6947447.0,1.4,1.3,0.477,9.2,44.2
219.0,0,4.23,191.214,83.0,0,65.0,8.38,68.0,1.8,1598.775,47774.0,3.6,3.5,0.27,11.0,48.3
248.0,32,1.03,76.604,18.0,45,45.0,4.86,45.0,0.5,412.739,2115164.0,7.6,7.5,0.503,10.2,18.0
184.0,0,0.01,247.949,99.0,0,99.0,5.48,99.0,0.1,1858.69,551531.0,1.2,1.2,0.505,9.4,48.1
216.0,62,4.19,137.327,87.0,80,87.0,3.94,87.0,0.1,1672.685,8929349.0,1.0,9.7,0.648,11.4,21.1
261.0,3,0.48,5.649,79.0,4,45.0,3.89,54.0,0.1,48.616,923825.0,12.1,12.1,0.475,9.8,12.6
162.0,10,0.01,7.829,97.0,11,94.0,6.88,97.0,0.2,114.459,8362745.0,3.6,3.7,0.622,11.3,39.9
21.0,0,5.67,312.8,96.0,0,95.0,4.53,96.0,1.5,3679.995,26913.0,3.6,3.6,0.684,12.2,42.6
11.0,1,11.21,287.208,18.0,1,96.0,8.12,95.0,0.1,2327.459,125125.0,0.8,0.8,0.869,18.0,58.1
355.0,24,4.54,1.727,99.0,36,93.0,1.3,99.0,3.2,17.8,7939573.0,8.0,8.0,0.309,7.2,14.8
6.0,3,5.65,2.819,18.0,4,87.0,5.71,85.0,3.2,22.994,187392.0,8.2,8.4,0.493,9.1,27.1
259.0,15,5.68,26.379,68.0,20,67.0,9.88,67.0,0.8,766.844,128921.0,3.9,3.9,0.477,8.9,46.5
12.0,0,0.01,325.63,94.0,0,93.0,4.29,93.0,0.2,3558.796,5216.0,6.9,6.9,0.643,13.6,29.7
