iter	RMSE
0	8.555588391
1	7.564513664
2	6.734371584
3	6.07029038
4	5.538266994
5	5.032325405
6	4.630524765
7	4.254905556
8	3.975789237
9	3.734193065
10	3.537916867
11	3.371006044
12	3.202523623
13	3.063157198
14	2.954531161
15	2.880321141
16	2.799008667
17	2.722552727
18	2.657456148
19	2.586384483
20	2.55204902
21	2.517000604
22	2.482019839
23	2.445567164
24	2.402258215
25	2.382993584
26	2.357911723
27	2.33773942
28	2.309591179
29	2.290438082
30	2.271853366
31	2.253691273
32	2.223384033
33	2.203946404
34	2.18549144
35	2.155952251
36	2.140147273
37	2.121560655
38	2.103415334
39	2.085771798
40	2.075020643
41	2.063762593
42	2.041949304
43	2.03213055
44	2.02284536
45	2.007466475
46	1.993922464
47	1.975402327
48	1.959751856
49	1.943922109
50	1.9332823
51	1.921892552
52	1.89444514
53	1.877303578
54	1.86642391
55	1.849141424
56	1.8391517
57	1.825842702
58	1.8084835
59	1.795898982
60	1.777814791
61	1.766927539
62	1.754536602
63	1.744221146
64	1.73320969
65	1.718893377
66	1.706188529
67	1.68832895
68	1.681117982
69	1.661005458
70	1.650146529
71	1.64233767
72	1.634197773
73	1.619133222
74	1.604290963
75	1.595705721
76	1.589368075
77	1.578160633
78	1.566764587
79	1.554906599
80	1.541728049
81	1.52513465
82	1.511147871
83	1.498403892
84	1.489330492
85	1.482975243
86	1.471261824
87	1.460451674
88	1.445757378
89	1.435643889
90	1.428616154
91	1.420790249
92	1.412042994
93	1.40955708
94	1.399777437
95	1.388902988
96	1.38038138
97	1.37168677
98	1.360309921
99	1.353298783
100	1.339866444
101	1.327967185
102	1.31985796
103	1.312256385
104	1.305416755
105	1.301713477
106	1.296700916
107	1.285569083
108	1.274830722
109	1.270595793
110	1.265558026
111	1.262236155
112	1.252564252
113	1.240916172
114	1.233552602
115	1.230541814
116	1.221930114
117	1.215435812
118	1.211809179
119	1.201771257
120	1.1982456
121	1.192195733
122	1.185831044
123	1.17711508
124	1.170963124
125	1.1648461
126	1.161371883
127	1.154784718
128	1.151305173
129	1.140671815
130	1.135574753
131	1.132249707
132	1.127119732
133	1.121356043
134	1.118759418
135	1.11418996
136	1.108770131
137	1.10304293
138	1.09457635
139	1.087121108
140	1.08283744
141	1.077612222
142	1.070711693
143	1.067095434
144	1.062033852
145	1.057345042
146	1.053361577
147	1.049913261
148	1.042801437
149	1.037286202
150	1.03294204
151	1.032259843
152	1.02722863
153	1.022288005
154	1.019751297
155	1.012571415
156	1.008040756
157	1.004610042
158	0.9991906574
159	0.9950853035
160	0.9890990585
161	0.9820131609
162	0.9769016854
163	0.9733050695
164	0.9686424574
165	0.962365278
166	0.9567768746
167	0.952698154
168	0.9472139836
169	0.9435346077
170	0.9387057144
171	0.9324415768
172	0.9270131342
173	0.9228690311
174	0.919791615
175	0.9167494125
176	0.9128522534
177	0.9058777104
178	0.9038909038
179	0.8993562991
180	0.8960870698
181	0.8921447961
182	0.8903594432
183	0.8855893722
184	0.8811654944
185	0.8787870775
186	0.8761040333
187	0.8727649422
188	0.8669407048
189	0.8624469658
190	0.8576118038
191	0.8540130258
192	0.8502814137
193	0.8469950769
194	0.8418903018
195	0.8379046226
196	0.8353821435
197	0.8301921452
198	0.8268335368
199	0.8226057852
