Country,Year,Status,Life_Expectancy,Adult_Mortality,Infant_Deaths,Alcohol,Percentage_Exp,HepatitisB,BMI,Under_Five_Deaths,Polio,Tot_Exp,Diphtheria,HIV/AIDS,GDP,Population,thinness_1to19_years,thinness_5to9_years,Income_Comp_Of_Resources,Schooling,winsorized_Life_Expectancy,winsorized_Adult_Mortality,winsorized_Infant_Deaths,winsorized_Alcohol,winsorized_Percentage_Exp,winsorized_HepatitisB,winsorized_Under_Five_Deaths,winsorized_Polio,winsorized_Tot_Exp,winsorized_Diphtheria,winsorized_HIV,winsorized_GDP,winsorized_Population,winsorized_thinness_1to19_years,winsorized_thinness_5to9_years,winsorized_Income_Comp_Of_Resources,winsorized_Schooling,Economic_health_index,Health_expenditure_ratio,Mortality_rate_ratio
Afghanistan,2015,Developing,65.0,263.0,62,0.01,71.28,65.0,19.1,83,6.0,8.16,65.0,0.1,584.259,33736494.0,17.2,17.3,0.479,10.1,65.0,263.0,62,0.01,71.28,65.0,83,45.0,8.16,65.0,0.1,584.259,17153357.0,16.1,16.7,0.479,10.1,4.838,0.014,3.169
Afghanistan,2014,Developing,59.9,271.0,64,0.01,73.524,62.0,18.6,86,58.0,8.18,62.0,0.1,612.697,327582.0,17.5,17.5,0.476,10.0,59.9,271.0,64,0.01,73.524,62.0,86,58.0,8.18,62.0,0.1,612.697,327582.0,16.1,16.7,0.476,10.0,4.76,0.013,3.151
Afghanistan,2013,Developing,59.9,268.0,66,0.01,73.219,64.0,18.1,89,62.0,8.13,64.0,0.1,631.745,31731688.0,17.7,17.7,0.47,9.9,59.9,268.0,64,0.01,73.219,64.0,87,62.0,8.13,64.0,0.1,631.745,17153357.0,16.1,16.7,0.47,9.9,4.653,0.013,3.08
Afghanistan,2012,Developing,59.5,272.0,69,0.01,78.184,67.0,17.6,93,67.0,8.52,67.0,0.1,669.959,3696958.0,17.9,18.0,0.463,9.8,59.5,272.0,64,0.01,78.184,67.0,87,67.0,8.52,67.0,0.1,669.959,3696958.0,16.1,16.7,0.463,9.8,4.537,0.013,3.126
Afghanistan,2011,Developing,59.2,275.0,71,0.01,7.097,68.0,17.2,97,68.0,7.87,68.0,0.1,63.537,2978599.0,18.2,18.2,0.454,9.5,59.2,275.0,64,0.01,7.097,68.0,87,68.0,7.87,68.0,0.1,63.537,2978599.0,16.1,16.7,0.454,9.5,4.313,0.124,3.161
Afghanistan,2010,Developing,58.8,279.0,74,0.01,79.679,66.0,16.7,102,66.0,9.2,66.0,0.1,553.329,2883167.0,18.4,18.4,0.448,9.2,58.8,279.0,64,0.01,79.679,66.0,87,66.0,9.2,66.0,0.1,553.329,2883167.0,16.1,16.7,0.448,9.2,4.122,0.017,3.207
Afghanistan,2009,Developing,58.6,281.0,77,0.01,56.762,63.0,16.2,106,63.0,9.42,63.0,0.1,445.893,284331.0,18.6,18.7,0.434,8.9,58.6,281.0,64,0.01,56.762,63.0,87,63.0,9.42,63.0,0.1,445.893,284331.0,16.1,16.7,0.434,8.9,3.863,0.021,3.23
Afghanistan,2008,Developing,58.1,287.0,80,0.03,25.874,64.0,15.7,110,64.0,8.33,64.0,0.1,373.361,2729431.0,18.8,18.9,0.433,8.7,58.1,287.0,64,0.03,25.874,64.0,87,64.0,8.33,64.0,0.1,373.361,2729431.0,16.1,16.7,0.433,8.7,3.767,0.022,3.299
Afghanistan,2006,Developing,57.3,295.0,84,0.03,17.172,64.0,14.7,116,58.0,7.43,58.0,0.1,272.564,2589345.0,19.2,19.3,0.405,8.1,57.3,295.0,64,0.03,17.172,64.0,87,58.0,7.43,58.0,0.1,272.564,2589345.0,16.1,16.7,0.405,8.1,3.28,0.027,3.391
Afghanistan,2005,Developing,57.3,291.0,85,0.02,1.389,66.0,14.2,118,58.0,8.7,58.0,0.1,25.294,257798.0,19.3,19.5,0.396,7.9,57.3,291.0,64,0.02,1.389,66.0,87,58.0,8.7,58.0,0.1,25.294,257798.0,16.1,16.7,0.396,7.9,3.128,0.344,3.345
Afghanistan,2004,Developing,57.0,293.0,87,0.02,15.296,67.0,13.8,120,5.0,8.79,5.0,0.1,219.141,24118979.0,19.5,19.7,0.381,6.8,57.0,293.0,64,0.02,15.296,67.0,87,45.0,8.79,45.0,0.1,219.141,17153357.0,16.1,16.7,0.381,6.8,2.591,0.04,3.368
Afghanistan,2003,Developing,56.7,295.0,87,0.01,11.089,65.0,13.4,122,41.0,8.82,41.0,0.1,198.729,2364851.0,19.7,19.9,0.373,6.5,56.7,295.0,64,0.01,11.089,65.0,87,45.0,8.82,45.0,0.1,198.729,2364851.0,16.1,16.7,0.373,6.5,2.424,0.044,3.391
Afghanistan,2002,Developing,56.2,3.0,88,0.01,16.887,64.0,13.0,122,36.0,7.76,36.0,0.1,187.846,21979923.0,19.9,2.2,0.341,6.2,56.2,3.0,64,0.01,16.887,64.0,87,45.0,7.76,45.0,0.1,187.846,17153357.0,16.1,2.2,0.341,6.2,2.114,0.041,0.034
