iter	Passed	Remaining
0	57	57492
1	57	28909
2	58	19407
3	58	14630
4	59	11768
5	59	9863
6	59	8492
7	60	7479
8	60	6679
9	61	6039
10	61	5524
11	61	5094
12	62	4724
13	62	4414
14	63	4137
15	63	3885
16	63	3672
17	63	3483
18	64	3313
19	64	3160
20	64	3021
21	65	2897
22	65	2784
23	65	2679
24	66	2579
25	66	2489
26	66	2406
27	67	2326
28	67	2255
29	67	2188
30	68	2125
31	68	2066
32	68	2011
33	68	1959
34	69	1910
35	69	1863
36	69	1819
37	70	1777
38	70	1737
39	70	1699
40	71	1663
41	71	1629
42	71	1596
43	72	1564
44	72	1534
45	72	1505
46	72	1475
47	73	1448
48	73	1423
49	73	1398
50	73	1375
51	74	1352
52	74	1330
53	74	1310
54	75	1289
55	75	1270
56	75	1251
57	75	1231
58	76	1213
59	76	1196
60	76	1180
61	76	1164
62	77	1149
63	77	1133
64	77	1117
65	77	1103
66	78	1089
67	78	1075
68	78	1062
69	79	1050
70	79	1038
71	79	1027
72	79	1015
73	80	1004
74	80	993
75	80	982
76	81	972
77	81	962
78	81	952
79	81	942
80	82	933
81	82	923
82	82	914
83	83	906
84	83	897
85	83	888
86	83	879
87	84	871
88	84	863
89	84	856
90	84	848
91	85	840
92	85	833
93	85	826
94	86	819
95	86	812
96	86	805
97	86	799
98	87	792
99	87	785
100	87	778
101	87	772
102	88	766
103	88	761
104	88	755
105	89	751
106	89	746
107	89	740
108	89	735
109	90	729
110	90	724
111	90	719
112	90	714
113	91	709
114	91	703
115	91	698
116	92	694
117	92	689
118	92	685
119	92	680
120	93	676
121	93	671
122	93	667
123	93	662
124	94	658
125	94	653
126	94	649
127	94	645
128	95	641
129	95	637
130	95	633
131	95	629
132	96	626
133	96	622
134	96	618
135	96	615
136	97	611
137	97	608
138	97	604
139	97	601
140	98	597
141	98	594
142	98	590
143	98	587
144	99	584
145	99	581
146	99	578
147	99	574
148	100	571
149	100	568
150	100	566
151	100	563
152	101	560
153	101	557
154	101	554
155	101	551
156	102	548
157	102	545
158	102	543
159	102	540
160	103	538
161	103	535
162	103	532
163	104	530
164	104	527
165	104	525
166	104	522
167	105	520
168	105	517
169	105	515
170	105	512
171	106	510
172	106	508
173	106	505
174	106	503
175	107	501
176	107	499
177	107	497
178	107	494
179	108	492
180	108	490
181	108	488
182	108	486
183	109	484
184	109	482
185	109	479
186	109	477
187	110	475
188	110	473
189	110	471
190	110	469
191	111	467
192	111	465
193	111	464
194	111	462
195	112	460
196	112	458
197	112	456
198	112	454
199	113	452
200	113	450
201	113	448
202	113	446
203	114	444
204	114	443
205	114	441
206	114	439
207	115	438
208	115	436
209	115	434
210	115	432
211	116	431
212	116	429
213	116	427
214	116	426
215	117	424
216	117	423
217	117	421
218	117	419
219	118	418
220	118	416
221	118	415
222	118	413
223	119	412
224	119	410
225	119	408
226	119	407
227	119	406
228	120	404
229	120	402
230	120	401
231	120	399
232	121	398
233	121	397
234	121	395
235	121	394
236	122	392
237	122	391
238	122	390
239	122	388
240	123	387
241	123	386
242	123	384
243	123	383
244	124	382
245	124	380
246	124	379
247	124	378
248	125	377
249	125	375
250	125	374
251	125	373
252	125	371
253	126	370
254	126	369
255	126	367
256	126	366
257	127	365
258	127	364
259	127	363
260	127	362
261	128	360
262	128	359
263	128	358
264	128	357
265	129	356
266	129	355
267	129	354
268	129	353
269	130	351
270	130	350
271	130	349
272	130	348
273	131	347
274	131	346
275	131	344
276	131	343
277	131	342
278	132	341
279	132	340
280	132	339
281	132	338
282	133	337
283	133	336
284	133	335
285	133	334
286	134	333
287	134	332
288	134	331
289	134	330
290	135	329
291	135	328
292	135	327
293	135	326
294	136	325
295	136	324
296	136	323
297	136	322
298	137	321
299	137	320
300	137	319
301	137	318
302	138	317
303	138	316
304	138	315
305	138	314
306	139	314
307	139	313
308	139	312
309	139	311
310	140	310
311	140	309
312	140	308
313	140	307
314	141	306
315	141	306
316	141	305
317	141	304
318	142	303
319	142	302
320	142	301
321	142	301
322	143	300
323	143	299
324	143	298
325	143	297
326	144	296
327	144	295
328	144	295
329	144	294
330	145	293
331	145	292
332	145	291
333	146	291
334	146	290
335	146	289
336	146	288
337	147	288
338	147	287
339	147	286
340	147	285
341	148	284
342	148	284
343	148	283
344	148	282
345	149	281
346	149	280
347	149	280
348	149	279
349	150	278
350	150	278
351	150	277
352	150	276
353	151	275
354	151	275
355	151	274
356	151	273
357	152	272
358	152	272
359	152	271
360	152	270
361	153	269
362	153	269
363	153	268
364	153	267
365	154	267
366	154	266
367	154	265
368	154	265
369	155	264
370	155	263
371	155	262
372	156	262
373	156	261
374	156	260
375	156	260
376	157	259
377	157	258
378	157	258
379	157	257
380	158	256
381	158	256
382	158	255
383	159	255
384	159	254
385	159	253
386	159	253
387	160	252
388	160	251
389	160	251
390	160	250
391	161	249
392	161	249
393	161	248
394	161	247
395	162	247
396	162	246
397	162	246
398	162	245
399	163	244
400	163	244
401	163	243
402	163	242
403	164	242
404	164	241
405	164	240
406	164	240
407	165	239
408	165	239
409	165	238
410	165	237
411	166	237
412	166	236
413	166	235
414	166	235
415	167	234
416	167	234
417	167	233
418	167	232
419	168	232
420	168	231
421	168	231
422	168	230
423	169	229
424	169	229
425	169	228
426	170	228
427	170	227
428	170	226
429	170	226
430	171	225
431	171	225
432	171	224
433	171	224
434	172	223
435	172	222
436	172	222
437	172	221
438	173	221
439	173	220
440	173	220
441	173	219
442	174	218
443	174	218
444	174	217
445	174	217
446	175	216
447	175	216
448	175	215
449	175	214
450	176	214
451	176	213
452	176	213
453	176	212
454	177	212
455	177	211
456	177	211
457	177	210
458	178	210
459	178	209
460	178	208
461	178	208
462	179	207
463	179	207
464	179	206
465	180	206
466	180	205
467	180	205
468	180	204
469	181	204
470	181	203
471	181	203
472	181	202
473	182	202
474	182	201
475	182	200
476	182	200
477	183	199
478	183	199
479	183	198
480	183	198
481	184	197
482	184	197
483	184	196
484	184	196
485	185	195
486	185	195
487	185	194
488	185	194
489	186	193
490	186	193
491	186	192
492	186	192
493	187	191
494	187	191
495	187	190
496	187	190
497	188	189
498	188	189
499	188	188
500	189	188
501	189	187
502	189	187
503	189	186
504	190	186
505	190	185
506	190	185
507	190	184
508	191	184
509	191	183
510	191	183
511	191	182
512	192	182
513	192	181
514	192	181
515	192	180
516	193	180
517	193	180
518	193	179
519	193	179
520	194	178
521	194	178
522	194	177
523	195	177
524	195	176
525	195	176
526	195	175
527	196	175
528	196	174
529	196	174
530	196	173
531	197	173
532	197	172
533	197	172
534	197	171
535	198	171
536	198	170
537	198	170
538	198	170
539	199	169
540	199	169
541	199	168
542	199	168
543	200	167
544	200	167
545	200	167
546	201	166
547	201	166
548	202	165
549	202	165
550	202	165
551	203	164
552	203	164
553	203	163
554	203	163
555	204	163
556	204	162
557	204	162
558	205	161
559	205	161
560	206	161
561	206	160
562	206	160
563	207	160
564	207	159
565	207	159
566	208	159
567	208	158
568	208	158
569	209	157
570	209	157
571	209	156
572	210	156
573	210	156
574	210	155
575	211	155
576	211	154
577	211	154
578	211	154
579	212	153
580	212	153
581	212	152
582	213	152
583	213	151
584	213	151
585	213	151
586	214	150
587	214	150
588	214	149
589	214	149
590	215	148
591	215	148
592	215	147
593	215	147
594	216	147
595	216	146
596	216	146
597	217	146
598	217	145
599	217	145
600	218	144
601	218	144
602	218	143
603	218	143
604	219	143
605	219	142
606	219	142
607	219	141
608	220	141
609	220	140
610	220	140
611	220	140
612	221	139
613	221	139
614	221	138
615	221	138
616	222	137
617	222	137
618	222	137
619	223	136
620	223	136
621	223	135
622	223	135
623	224	135
624	224	134
625	224	134
626	224	133
627	225	133
628	225	132
629	225	132
630	225	132
631	226	131
632	226	131
633	226	130
634	226	130
635	227	130
636	227	129
637	227	129
638	228	128
639	228	128
640	228	128
641	228	127
642	229	127
643	229	126
644	229	126
645	229	125
646	230	125
647	230	125
648	230	124
649	230	124
650	231	123
651	231	123
652	231	123
653	231	122
654	232	122
655	232	121
656	232	121
657	233	121
658	233	120
659	233	120
660	233	119
661	234	119
662	234	119
663	234	118
664	234	118
665	235	117
666	235	117
667	235	117
668	235	116
669	236	116
670	236	115
671	236	115
672	236	115
673	237	114
674	237	114
675	237	113
676	237	113
677	238	113
678	238	112
679	238	112
680	238	111
681	239	111
682	239	111
683	239	110
684	239	110
685	240	110
686	240	109
687	240	109
688	241	108
689	241	108
690	241	108
691	241	107
692	242	107
693	242	106
694	242	106
695	243	106
696	243	105
697	243	105
698	243	104
699	244	104
700	244	104
701	244	103
702	244	103
703	245	103
704	245	102
705	245	102
706	245	101
707	246	101
708	246	101
709	246	100
710	246	100
711	247	99
712	247	99
713	247	99
714	248	98
715	248	98
716	248	98
717	248	97
718	249	97
719	249	96
720	249	96
721	249	96
722	250	95
723	250	95
724	250	95
725	250	94
726	251	94
727	251	93
728	251	93
729	251	93
730	252	92
731	252	92
732	252	92
733	252	91
734	253	91
735	253	90
736	253	90
737	253	90
738	254	89
739	254	89
740	254	89
741	254	88
742	255	88
743	255	87
744	255	87
745	255	87
746	256	86
747	256	86
748	256	86
749	256	85
750	257	85
751	257	84
752	257	84
753	257	84
754	258	83
755	258	83
756	258	83
757	258	82
758	259	82
759	259	81
760	259	81
761	260	81
762	260	80
763	260	80
764	260	80
765	261	79
766	261	79
767	261	79
768	261	78
769	262	78
770	262	77
771	262	77
772	262	77
773	263	76
774	263	76
775	263	76
776	264	75
777	264	75
778	264	75
779	264	74
780	265	74
781	265	73
782	265	73
783	265	73
784	266	72
785	266	72
786	266	72
787	266	71
788	267	71
789	267	71
790	267	70
791	267	70
792	268	69
793	268	69
794	268	69
795	268	68
796	269	68
797	269	68
798	269	67
799	269	67
800	270	67
801	270	66
802	270	66
803	271	66
804	271	65
805	271	65
806	271	65
807	272	64
808	272	64
809	272	63
810	272	63
811	273	63
812	273	62
813	273	62
814	274	62
815	274	61
816	274	61
817	274	61
818	275	60
819	275	60
820	275	60
821	276	59
822	276	59
823	276	59
824	276	58
825	277	58
826	277	58
827	277	57
828	277	57
829	278	56
830	278	56
831	278	56
832	279	55
833	279	55
834	279	55
835	279	54
836	280	54
837	280	54
838	280	53
839	280	53
