Adult Mortality,Alcohol,percentage expenditure,BMI,Polio,Diphtheria,HIV/AIDS,GDP,thinness 10-19 years,Income composition of resources,Schooling,Economic_health_index,Health_expenditure_ratio,Mortality_rate_ratio
228.0,0.28,244.039,2.3,92.0,91.0,0.5,0.218,16.6,0.0,11.4,0.0,23.707,228.0
263.0,1.81,154.227,2.1,94.0,94.0,3.0,0.116,8.0,0.536,11.1,5.95,47.513,3.131
24.0,2.38,352.024,44.5,9.0,89.0,0.4,0.226,1.4,0.57,9.8,5.586,34.092,1.412
215.0,2.35,37.885,43.4,97.0,96.0,0.1,0.044,3.2,0.0,10.5,0.0,43.17,26.875
99.0,5.31,3.302,5.8,97.0,97.0,0.1,0.003,1.7,0.696,11.4,7.934,1749.118,99.0
162.0,3.62,310.612,68.9,26.0,55.0,0.1,0.235,0.2,0.665,12.4,8.246,18.908,11.024000000000001
118.0,5.77,339.719,62.3,95.0,95.0,0.1,0.159,1.5,0.784,15.5,12.152,54.844,11.024000000000001
232.0,0.01,29.755,18.1,71.0,71.0,0.7,0.039,1.3,0.331,5.1,1.688,156.478,2.578
283.0,1.23,40.488,19.2,76.0,75.0,2.1,0.042,9.3,0.407,7.3,2.971,102.227,7.075
136.0,0.01,33.67,52.7,93.0,93.0,0.1,0.02,2.5,0.0,0.0,0.0,415.183,11.024000000000001
19.0,0.01,50.539,61.9,99.0,99.0,0.1,0.055,4.0,0.727,15.2,11.05,82.298,11.024000000000001
223.0,5.18,0.0,17.3,67.0,67.0,0.2,0.174,9.4,0.525,9.4,4.935,21.638,15.929
23.0,0.03,8.595,21.1,58.0,51.0,1.1,0.048,1.9,0.443,6.4,2.835,110.372,2.091
169.0,3.09,154.864,4.4,95.0,95.0,1.5,0.113,2.7,0.561,10.1,5.666,64.252,24.143
184.0,0.01,0.443,43.9,99.0,99.0,0.1,0.002,3.0,0.69,12.1,8.349,2453.174,10.222
16.0,0.56,129.226,51.8,99.0,99.0,0.1,0.193,6.9,0.797,13.5,10.76,14.195,16.0
125.0,5.52,78.809,47.8,99.0,99.0,0.2,0.413,2.3,0.725,12.6,9.135,20.091,62.5
197.0,3.5,2.092,44.2,85.0,85.0,0.4,0.001,2.2,0.577,10.7,6.174,6022.322,39.4
116.0,1.49,32.782,61.9,97.0,97.0,0.1,0.167,4.9,0.715,13.0,9.295,33.52,4.64
464.0,6.0,63.751,29.9,93.0,93.0,13.3,0.084,6.8,0.452,10.1,4.565,75.153,11.048
259.0,3.41,0.0,13.8,52.0,49.0,0.1,0.174,1.2,0.477,8.3,3.959,28.181,15.235
339.0,1.1,2.03,16.6,63.0,64.0,5.1,0.002,9.4,0.425,9.3,3.952,1757.411,15.409
