iter	RMSE
0	7.938233354
1	7.015407166
2	6.259532567
3	5.653654167
4	5.150375058
5	4.704916162
6	4.318041656
7	4.010631663
8	3.742508042
9	3.522280854
10	3.31123682
11	3.185407775
12	3.082795961
13	2.981759692
14	2.905470851
15	2.816939176
16	2.765646441
17	2.70166548
18	2.636588871
19	2.597902698
20	2.561316885
21	2.53807283
22	2.503009225
23	2.465311093
24	2.451814048
25	2.421048764
26	2.395768644
27	2.370367851
28	2.35372411
29	2.341071476
30	2.313488818
31	2.298033582
32	2.277655732
33	2.255192473
34	2.244921285
35	2.223039738
36	2.198790213
37	2.185032642
38	2.166927869
39	2.149325202
40	2.135156107
41	2.114872016
42	2.086340042
43	2.078843435
44	2.067150397
45	2.049555722
46	2.02203631
47	1.996919355
48	1.985553843
49	1.974422705
50	1.958039013
51	1.944317598
52	1.934195252
53	1.92264136
54	1.911499646
55	1.887915894
56	1.873770726
57	1.84993079
58	1.835370295
59	1.824277435
60	1.812075245
61	1.805510685
62	1.79630661
63	1.783142908
64	1.774139965
65	1.760485126
66	1.755785791
67	1.746620015
68	1.730752282
69	1.723497191
70	1.709091324
71	1.698777028
72	1.690693416
73	1.682818365
74	1.676013165
75	1.668674418
76	1.65987703
77	1.652601662
78	1.637820868
79	1.624121503
80	1.617241353
81	1.612248574
82	1.602354635
83	1.599732467
84	1.594054775
85	1.582296154
86	1.577627872
87	1.565118391
88	1.558304654
89	1.554138664
90	1.547859491
91	1.537497508
92	1.532645844
93	1.526061913
94	1.516010477
95	1.512795159
96	1.503300378
97	1.502000248
98	1.497110414
99	1.490553782
100	1.483989364
101	1.473190964
102	1.463803484
103	1.459161785
104	1.450123601
105	1.446777689
106	1.440712805
107	1.4291508
108	1.421065831
109	1.416433644
110	1.413052733
111	1.403464651
112	1.397292507
113	1.393413896
114	1.389986447
115	1.384002017
116	1.375728528
117	1.367791897
118	1.363111627
119	1.360735633
120	1.352346246
121	1.348039077
122	1.34550057
123	1.338805331
124	1.3321967
125	1.328979512
126	1.322934375
127	1.314845273
128	1.310338371
129	1.305933893
130	1.301584822
131	1.295942161
132	1.287703994
133	1.286296535
134	1.281591835
135	1.279573135
136	1.2765874
137	1.274330654
138	1.270733255
139	1.269312309
140	1.262216817
141	1.257726055
142	1.252215075
143	1.249254511
144	1.243648307
145	1.238552983
146	1.234259492
147	1.229458908
148	1.224447214
149	1.217513916
150	1.215538709
151	1.211468365
152	1.2086592
153	1.207545297
154	1.202838431
155	1.19994239
156	1.198449647
157	1.194901287
158	1.190413327
159	1.183346894
160	1.181631769
161	1.177161397
162	1.169349049
163	1.163995578
164	1.16206231
165	1.156332747
166	1.151624025
167	1.149012835
168	1.145399773
169	1.139092352
170	1.137683234
171	1.132364973
172	1.129940349
173	1.125975484
174	1.122461489
175	1.117426346
176	1.111812201
177	1.106575793
178	1.105800879
179	1.102022027
180	1.097454324
181	1.097280308
182	1.094014568
183	1.08825736
184	1.083575035
185	1.082515554
186	1.077436302
187	1.074876995
188	1.073067127
189	1.068543578
190	1.06494632
191	1.059270153
192	1.054896361
193	1.053303821
194	1.050398363
195	1.047458318
196	1.045424483
197	1.042820146
198	1.038827466
199	1.035704336
