iter	Passed	Remaining
0	8	1606
1	14	1442
2	24	1632
3	81	4000
4	130	5091
5	140	4550
6	151	4170
7	158	3798
8	165	3507
9	174	3315
10	185	3187
11	194	3044
12	203	2923
13	209	2789
14	319	3944
15	347	3997
16	360	3881
17	367	3712
18	375	3581
19	383	3453
20	393	3356
21	498	4032
22	506	3900
23	512	3755
24	520	3642
25	528	3540
26	534	3423
27	637	3918
28	647	3817
29	734	4160
30	760	4144
31	792	4159
32	880	4455
33	895	4372
34	907	4275
35	914	4166
36	1012	4462
37	1053	4490
38	1068	4409
39	1179	4717
40	1198	4647
41	1210	4552
42	1221	4460
43	1229	4359
44	1236	4257
45	1266	4239
46	1381	4498
47	1396	4423
48	1405	4332
49	1418	4256
50	1509	4408
51	1526	4345
52	1536	4262
53	1543	4173
54	1553	4096
55	1561	4015
56	1567	3931
57	1573	3852
58	1584	3786
59	1617	3774
60	1673	3814
61	1694	3772
62	1714	3728
63	1735	3687
64	1757	3649
65	1780	3614
66	1797	3568
67	1812	3517
68	1831	3476
69	1865	3464
70	1880	3417
71	1896	3371
72	1911	3325
73	1920	3270
74	1929	3215
75	1942	3169
76	1949	3114
77	1956	3059
78	1963	3007
79	1969	2953
80	1975	2901
81	1983	2854
82	1990	2806
83	2058	2843
84	2125	2875
85	2142	2840
86	2151	2794
87	2160	2749
88	2168	2704
89	2174	2658
90	2181	2612
91	2186	2567
92	2193	2523
93	2199	2480
94	2205	2437
95	2214	2398
96	2221	2358
97	2281	2374
98	2337	2385
99	2346	2346
100	2406	2358
101	2446	2350
102	2455	2312
103	2464	2274
104	2544	2302
105	2583	2290
106	2600	2260
107	2611	2224
108	2680	2238
109	2696	2205
110	2702	2166
111	2711	2130
112	2717	2092
113	2854	2153
114	2877	2127
115	2892	2094
116	2902	2059
117	2909	2021
118	2915	1984
119	2923	1949
120	3022	1973
121	3045	1946
122	3057	1914
123	3065	1878
124	3072	1843
125	3179	1867
126	3195	1836
127	3331	1874
128	3354	1846
129	3364	1811
130	3371	1775
131	3379	1741
132	3386	1706
133	3393	1671
134	3484	1677
135	3494	1644
136	3501	1610
137	3510	1576
138	3518	1543
139	3523	1510
140	3532	1478
141	3539	1445
142	3544	1413
143	3648	1418
144	3664	1390
145	3675	1359
146	3683	1328
147	3691	1296
148	3697	1265
149	3704	1234
150	3711	1204
151	3718	1174
152	3725	1144
153	3731	1114
154	3740	1085
155	3745	1056
156	3837	1051
157	3868	1028
158	3883	1001
159	3893	973
160	3901	945
161	3912	917
162	3922	890
163	3930	862
164	3938	835
165	3944	807
166	3953	781
167	4053	772
168	4065	745
169	4075	719
170	4084	692
171	4091	666
172	4100	639
173	4106	613
174	4114	587
175	4120	561
176	4125	536
177	4132	510
178	4138	485
179	4146	460
180	4151	435
181	4157	411
182	4233	393
183	4262	370
184	4281	347
185	4369	328
186	4386	304
187	4394	280
188	4402	256
189	4414	232
190	4423	208
191	4532	188
192	4559	165
193	4572	141
194	4579	117
195	4588	93
196	4595	69
197	4603	46
198	4609	23
199	4617	0
