year,selling_price,fuel,seller_type,transmission,owner,brand,km_dr_gr
2014,335000,1,1,0,0,1,0
2013,475000,0,1,0,0,1,1
2017,725000,1,1,0,0,1,0
2011,285000,1,1,0,0,1,0
2014,460000,0,1,0,0,1,1
2018,925000,0,1,0,0,1,0
2015,675000,1,1,0,0,1,0
2015,650000,0,1,0,0,1,0
2016,875000,0,1,0,0,1,0
2015,745000,0,1,0,0,1,1
2017,285000,1,1,0,0,1,0
2015,685000,0,1,0,0,1,1
2015,750000,1,1,1,0,1,0
2015,610000,1,1,0,0,1,0
2009,225000,1,1,0,0,1,2
2016,775000,0,1,0,0,1,1
2015,725000,0,1,0,0,1,1
2015,325000,2,1,0,0,1,1
2010,265000,1,1,0,0,1,1
2016,285000,1,1,0,0,1,0
2017,490000,1,1,0,0,1,0
2011,440000,1,1,1,0,1,1
2014,250000,1,1,0,0,1,1
2013,290000,1,1,0,0,1,1
2011,300000,1,1,0,0,1,0
2013,415000,1,1,0,0,1,1
2017,600000,1,0,0,0,1,0
2010,195000,1,1,0,0,1,1
2015,745000,0,1,0,0,1,1
2012,310000,0,1,0,0,1,1
2011,235000,1,1,0,0,1,1
2014,495000,0,1,0,0,1,1
2014,600000,0,1,0,0,1,1
2014,550000,0,1,0,0,1,1
2011,295000,2,1,0,0,1,1
2015,465000,1,1,0,0,1,1
2016,300000,1,1,0,0,1,0
2003,225000,1,1,0,0,1,1
2016,585000,1,1,1,0,1,0
2008,195000,1,1,0,0,1,1
2014,550000,0,1,0,0,1,1
2012,125000,1,1,0,0,1,1
2014,750000,1,1,1,0,1,0
2013,265000,1,1,0,0,1,2
2006,105000,1,1,0,0,1,2
2015,580000,1,1,0,0,1,0
2017,775000,1,1,1,0,1,1
2012,1490000,0,1,1,0,1,3
2015,2300000,0,1,1,0,1,1
2017,1800000,0,1,1,0,1,0
2013,1600000,0,0,1,0,1,3
2005,275000,1,0,0,0,1,2
2009,360000,1,1,1,0,1,2
2010,475000,1,1,0,0,1,1
2014,410000,1,1,0,1,1,1
2014,1999000,0,1,1,0,1,1
2013,695000,1,1,0,0,1,1
2015,450000,1,1,0,0,1,1
2014,1875000,0,1,1,0,1,2
2015,2350000,0,1,1,0,1,1
2017,3300000,0,1,1,0,1,0
2014,475000,0,1,0,0,1,1
2017,1975000,1,1,1,0,1,0
2010,925000,0,1,0,0,1,1
2011,435000,1,1,0,0,1,2
2016,1425000,1,1,0,0,1,0
2014,395000,0,1,0,0,1,2
2011,450000,0,1,0,0,1,1
2013,745000,1,1,0,0,1,1
2011,265000,1,1,0,0,1,1
2014,490000,0,1,0,0,1,2
2015,395000,1,1,0,0,1,1
2013,550000,1,1,0,0,1,2
2004,150000,1,1,1,0,1,3
2010,525000,1,1,1,0,1,2
2012,1450000,0,1,1,0,1,2
2016,1473000,0,1,0,0,1,0
2015,475000,0,1,0,0,1,1
2017,2300000,0,1,1,0,1,0
2015,1250000,0,1,0,0,1,1
2005,349000,0,1,0,0,1,3
2006,250000,1,0,1,3,1,3
2012,590000,1,1,0,0,1,1
2013,345000,1,1,0,0,1,1
2014,475000,1,1,0,0,1,1
2009,380000,1,1,0,0,1,1
2005,351000,1,1,0,0,1,2
2008,400000,1,1,1,0,1,2
2012,585000,1,1,0,0,1,2
2016,2075000,0,1,1,0,1,0
2017,1700000,1,1,0,0,1,0
2013,705000,1,1,0,0,1,1
2010,965000,0,1,0,0,1,1
2016,175000,1,0,0,0,0,0
2017,170000,1,0,0,0,0,0
2017,165000,1,0,0,0,0,0
2017,145000,1,0,0,0,0,0
2017,135000,1,0,0,0,0,0
2015,135000,1,0,0,0,0,0
2014,135000,1,0,0,1,0,0
2013,125000,1,0,0,0,0,0
2016,120000,1,0,0,0,0,0
2017,120000,1,0,0,0,0,0
2016,120000,1,0,0,0,0,0
2016,115000,1,0,0,0,0,0
2014,115000,1,0,0,0,0,0
2016,115000,1,0,0,0,1,0
2015,111000,1,0,0,0,0,0
