year,selling_price,fuel,seller_type,transmission,owner,brand,km_dr_gr,mpow_val_d
2014,450000,0,0,0,1,1,3,75.0
2014,370000,0,0,0,2,1,3,100.0
2006,158000,1,0,0,3,1,3,75.0
2010,225000,0,0,0,1,1,3,100.0
2007,130000,1,0,0,1,1,3,100.0
2017,440000,1,0,0,1,1,1,75.0
2007,96000,2,0,0,1,1,3,50.0
2001,45000,1,0,0,2,1,0,25.0
2011,350000,0,0,0,1,1,2,75.0
2013,200000,0,0,0,1,1,3,75.0
2014,500000,0,0,0,2,1,2,100.0
2005,92000,1,0,0,2,1,3,50.0
2009,280000,0,0,0,2,1,3,75.0
2009,180000,1,0,0,2,1,2,75.0
2016,400000,1,0,0,1,1,1,75.0
2016,778000,0,0,0,2,1,2,100.0
2012,500000,0,0,0,2,1,1,100.0
2016,680000,0,0,0,1,1,3,100.0
2011,174000,0,0,0,2,1,3,75.0
2017,950000,0,0,0,1,1,1,100.0
2015,525000,0,0,0,1,1,1,75.0
2018,500000,1,0,0,1,1,0,75.0
2016,575000,1,0,0,1,1,1,75.0
2017,275000,1,0,0,1,1,0,50.0
2013,300000,0,0,0,1,0,2,75.0
2009,220000,1,0,0,1,1,3,75.0
2018,254999,1,0,0,1,1,0,25.0
2017,670000,0,0,0,1,1,2,100.0
2012,150000,1,0,0,2,1,0,25.0
2018,730000,1,0,0,1,1,0,75.0
2017,650000,0,0,0,1,1,0,100.0
2019,330000,2,0,0,2,1,0,50.0
2019,366000,1,0,0,1,1,0,75.0
2019,1149000,1,0,0,1,1,0,125.0
2016,150000,1,0,0,1,0,1,75.0
2011,425000,0,0,0,2,1,1,150.0
2012,150000,1,0,0,1,1,2,25.0
2019,2100000,1,0,1,1,1,0,150.0
2018,925000,1,1,0,1,1,0,125.0
2013,425000,1,1,0,1,1,2,125.0
2018,675000,1,1,1,1,1,0,75.0
2018,819999,0,1,0,1,1,0,100.0
2018,390000,1,1,0,1,1,0,75.0
2014,1500000,0,1,0,1,1,2,175.0
2013,700000,0,1,0,1,1,2,100.0
2014,1450000,0,1,1,2,2,0,125.0
2015,425000,0,1,0,1,1,1,100.0
2015,600000,0,1,0,1,1,1,100.0
2018,850000,1,1,0,1,1,2,100.0
2016,1650000,0,1,1,2,1,3,175.0
2013,1750000,0,1,1,2,2,0,175.0
2018,1590000,1,1,1,1,1,0,150.0
2013,1689999,0,1,1,1,2,1,200.0
2013,1425000,0,1,1,1,2,1,175.0
2011,265000,0,0,0,1,1,3,100.0
2011,190000,1,0,0,3,1,3,75.0
2013,425000,0,0,0,1,1,1,100.0
2015,630000,0,0,0,2,1,3,75.0
2017,600000,1,0,0,3,1,0,75.0
2019,650000,1,0,0,1,1,0,75.0
2016,540000,0,0,0,1,1,1,100.0
2015,630000,0,0,0,1,1,3,100.0
2018,448000,1,0,1,1,1,0,75.0
2017,500000,0,0,0,1,1,2,100.0
2016,745000,0,0,0,1,1,2,100.0
2019,1025000,0,0,1,1,1,0,100.0
2011,235000,1,0,0,2,1,1,75.0
2016,630000,0,0,0,1,1,2,75.0
2015,1700000,0,0,0,2,1,2,175.0
2013,450000,0,0,0,2,1,3,75.0
2012,450000,1,0,0,2,1,3,100.0
2013,450000,0,0,0,1,1,3,100.0
2016,1200000,0,0,0,1,1,3,100.0
2015,610000,0,0,0,1,1,2,100.0
2016,2500000,1,0,1,2,2,0,200.0
2017,484999,1,1,0,1,1,0,75.0
2016,275000,1,1,0,1,0,1,75.0
2016,315000,1,1,0,1,1,0,50.0
2016,275000,1,1,0,1,1,1,50.0
2017,280000,1,1,0,1,1,0,25.0
2015,455000,1,1,0,1,1,1,75.0
2015,351000,1,1,0,2,1,1,75.0
2012,535000,1,1,0,2,1,0,100.0
