iter	RMSE
0	0.2732073105
1	0.2667353556
2	0.2602904535
3	0.2545116692
4	0.2482297727
5	0.2430646993
6	0.2376306826
7	0.2323591909
8	0.2277125055
9	0.2229439639
10	0.2181928378
11	0.2131516169
12	0.2082845422
13	0.2040185496
14	0.200002253
15	0.1961473396
16	0.191825438
17	0.1877259681
18	0.1839116889
19	0.1802557453
20	0.1764601401
21	0.1729139568
22	0.1693976572
23	0.1663335415
24	0.1632761243
25	0.1600932804
26	0.1570450073
27	0.1544510551
28	0.1516589293
29	0.1489219215
30	0.1463031143
31	0.1437234617
32	0.1414356162
33	0.1391148645
34	0.1368305941
35	0.1345378435
36	0.1329180601
37	0.1312259515
38	0.1291035321
39	0.1273770052
40	0.1254230656
41	0.1236395373
42	0.1219546116
43	0.1203028817
44	0.118904639
45	0.1173238974
46	0.1159300933
47	0.1147124007
48	0.1132801302
49	0.1122164482
50	0.1109794174
51	0.1094949373
52	0.108421675
53	0.1073042661
54	0.10603145
55	0.1049135908
56	0.1040761935
57	0.1030155934
58	0.1020089369
59	0.1009847847
60	0.09993369032
61	0.09899905036
62	0.09794680538
63	0.0971433319
64	0.09637868352
65	0.09558240022
66	0.09489484466
67	0.09422607699
68	0.09340812256
69	0.09266705108
70	0.09195692297
71	0.09122284346
72	0.09061782304
73	0.09007307981
74	0.08952906952
75	0.08909939652
76	0.08859945412
77	0.08822893544
78	0.08765171181
79	0.08713175309
80	0.08660019605
81	0.08606075647
82	0.08551879834
83	0.08490482599
84	0.08441965402
85	0.08388064108
86	0.08335781939
87	0.08303127405
88	0.08258343648
89	0.08224518306
90	0.08185534158
91	0.0814900641
92	0.08112310442
93	0.08080966822
94	0.08044754633
95	0.08008897589
96	0.07976383128
97	0.07934421852
98	0.07900982713
99	0.07864849832
