iter	Passed	Remaining
0	140	13913
1	142	6958
2	143	4630
3	144	3467
4	144	2749
5	144	2270
6	145	1927
7	145	1670
8	145	1470
9	145	1310
10	145	1179
11	145	1070
12	146	978
13	146	898
14	146	830
15	146	770
16	146	717
17	147	669
18	147	627
19	147	589
20	147	555
21	147	523
22	147	495
23	148	469
24	148	444
25	148	422
26	148	401
27	148	382
28	149	365
29	149	348
30	149	333
31	149	318
32	150	304
33	150	291
34	150	279
35	150	267
36	150	257
37	151	246
38	151	236
39	151	227
40	151	218
41	151	209
42	152	201
43	152	193
44	152	186
45	152	179
46	153	172
47	153	166
48	153	159
49	153	153
50	154	148
51	154	142
52	154	136
53	154	131
54	154	126
55	154	121
56	155	117
57	155	112
58	155	108
59	156	104
60	156	99
61	156	95
62	156	92
63	157	88
64	157	84
65	157	81
66	157	77
67	158	74
68	158	71
69	158	68
70	159	64
71	159	61
72	159	59
73	159	56
74	160	53
75	160	50
76	160	48
77	160	45
78	161	42
79	161	40
80	161	37
81	162	35
82	162	33
83	162	30
84	162	28
85	163	26
86	163	24
87	163	22
88	164	20
89	164	18
90	164	16
91	164	14
92	165	12
93	165	10
94	165	8
95	165	6
96	166	5
97	166	3
98	166	1
99	166	0
