iter	Passed	Remaining
0	145	28885
1	146	14552
2	148	9752
3	150	7364
4	151	5923
5	153	4968
6	155	4275
7	156	3754
8	157	3350
9	159	3029
10	160	2763
11	162	2542
12	163	2352
13	164	2191
14	166	2051
15	167	1929
16	169	1821
17	170	1724
18	171	1636
19	173	1558
20	174	1488
21	176	1424
22	177	1366
23	178	1311
24	180	1261
25	181	1214
26	182	1171
27	184	1131
28	185	1093
29	186	1058
30	188	1026
31	189	996
32	191	967
33	192	939
34	193	913
35	195	889
36	196	865
37	197	843
38	199	821
39	200	800
40	201	781
41	202	762
42	204	745
43	205	729
44	207	713
45	208	697
46	209	682
47	211	668
48	212	654
49	213	641
50	215	628
51	216	616
52	217	604
53	219	592
54	220	581
55	221	570
56	223	559
57	224	549
58	225	539
59	226	529
60	228	520
61	229	510
62	230	501
63	231	492
64	233	484
65	234	476
66	236	468
67	237	460
68	238	453
69	240	445
70	241	438
71	242	431
72	244	425
73	245	418
74	247	411
75	248	405
76	249	398
77	250	392
78	252	386
79	253	380
80	254	374
81	255	368
82	257	362
83	258	356
84	259	351
85	260	345
86	262	340
87	263	335
88	264	330
89	266	325
90	266	319
91	268	314
92	269	310
93	270	305
94	272	300
95	273	296
96	274	291
97	275	287
98	276	282
99	278	278
100	279	273
101	280	269
102	282	265
103	283	261
104	284	257
105	285	253
106	286	249
107	288	245
108	289	241
109	290	237
110	291	233
111	292	230
112	294	226
113	295	222
114	296	219
115	297	215
116	298	211
117	300	208
118	301	205
119	302	201
120	303	198
121	305	195
122	306	192
123	308	188
124	309	185
125	310	182
126	312	179
127	313	176
128	315	173
129	316	170
130	317	167
131	318	164
132	319	161
133	321	158
134	322	155
135	323	152
136	324	149
137	326	146
138	327	143
139	328	140
140	330	138
141	331	135
142	332	132
143	333	129
144	334	127
145	336	124
146	337	121
147	338	118
148	340	116
149	341	113
150	342	111
151	344	108
152	345	106
153	347	103
154	348	101
155	349	98
156	350	96
157	352	93
158	353	91
159	355	88
160	356	86
161	357	83
162	359	81
163	360	79
164	361	76
165	362	74
166	364	71
167	365	69
168	366	67
169	367	64
170	368	62
171	370	60
172	371	57
173	372	55
174	373	53
175	375	51
176	376	48
177	377	46
178	378	44
179	380	42
180	381	40
181	382	37
182	384	35
183	385	33
184	386	31
185	388	29
186	389	27
187	390	24
188	392	22
189	393	20
190	394	18
191	396	16
192	397	14
193	398	12
194	400	10
195	401	8
196	402	6
197	404	4
198	405	2
199	406	0
