year,fuel,seller_type,transmission,owner,brand,km_dr_gr,mpow_val
20,0,1,1,1,21,5.162862993321926,74
20,0,1,1,2,15,5.079181246047624,104
12,1,1,1,3,14,5.146128035678237,78
16,0,1,1,1,19,5.103803720955956,90
13,1,1,1,1,21,5.079181246047624,88
23,1,1,1,1,19,4.653212513775343,82
13,2,1,1,1,21,5.243038048686294,58
7,1,1,1,2,21,3.6989700043360187,37
17,0,1,1,1,11,4.954242509439324,67
19,0,1,1,1,16,5.227886704613673,68
20,0,1,1,2,20,4.832508912706236,108
11,1,1,1,2,21,5.0,60
15,0,1,1,2,21,5.146128035678237,74
15,1,1,1,2,21,4.954242509439324,67
22,1,1,1,1,13,4.602059991327962,82
22,0,1,1,2,21,4.845098040014256,88
18,0,1,1,2,19,4.724275869600789,90
22,0,1,1,1,19,5.0,89
17,0,1,1,2,13,5.0,64
23,0,1,1,1,14,4.698970004336019,99
21,0,1,1,1,21,4.602059991327962,74
24,1,1,1,1,22,4.544068044350275,84
22,1,1,1,1,21,4.653212513775343,83
23,1,1,1,1,21,4.4471580313422185,47
19,0,1,1,1,26,4.845098040014256,74
15,1,1,1,1,21,5.079181246047624,67
24,1,1,1,1,21,4.3979400086720375,34
23,0,1,1,1,21,4.845098040014256,88
18,1,1,1,2,21,4.544068044350275,35
24,1,1,1,1,19,3.3780343224573315,82
23,0,1,1,1,21,4.209515014542631,88
25,2,1,1,2,21,4.0,40
25,1,1,1,1,21,4.176091259055681,67
25,1,1,1,1,19,3.6989700043360187,121
22,1,1,1,1,23,4.6232492903979,67
17,0,1,1,2,22,4.778151250383643,138
18,1,1,1,1,21,4.8808135922807905,37
24,1,0,1,1,14,4.460897842756547,117
19,1,0,1,1,14,4.936010795715209,116
24,1,0,0,1,21,4.367355921026018,83
24,0,0,1,1,21,4.5132176000679385,88
24,1,0,1,1,21,4.012837224705172,67
20,0,0,1,1,11,4.886490725172481,168
19,0,0,1,1,11,4.99563519459755,100
20,0,0,0,2,8,4.444044795918076,121
21,0,0,1,1,14,4.697229342759718,99
21,0,0,1,1,14,4.73798732633343,99
24,1,0,1,1,21,4.806179973983887,103
22,0,0,0,2,11,5.1061908972634145,172
19,0,0,0,2,5,4.530199698203082,174
24,1,0,0,1,11,4.3979400086720375,138
19,0,0,0,1,5,4.698970004336019,188
19,0,0,0,1,8,4.770852011642144,170
17,0,1,1,1,22,5.079181246047624,89
17,1,1,1,3,19,5.0413926851582245,79
19,0,1,1,1,19,4.778151250383643,89
21,0,1,1,2,21,5.167317334748176,74
23,1,1,1,3,16,4.3979400086720375,87
25,1,1,1,1,21,4.477121254719662,83
22,0,1,1,1,17,4.602059991327962,108
21,0,1,1,1,14,5.130333768495006,99
24,1,1,0,1,21,4.477121254719662,67
23,0,1,1,1,17,4.903089986991943,109
22,0,1,1,1,21,4.845098040014256,88
25,0,1,0,1,21,3.993436230497611,88
17,1,1,1,2,19,4.778151250383643,79
22,0,1,1,1,21,4.845098040014256,74
21,0,1,1,2,11,4.89209460269048,168
19,0,1,1,2,21,5.079181246047624,74
18,1,1,1,2,21,5.079181246047624,94
19,0,1,1,1,17,5.230448921378273,104
22,0,1,1,1,11,5.146128035678237,101
21,0,1,1,1,16,4.954242509439324,99
23,1,0,1,1,21,4.0,67
22,1,0,1,1,23,4.690196080028513,67
22,1,0,1,1,21,4.505149978319905,47
22,1,0,1,1,21,4.579783596616809,47
23,1,0,1,1,21,4.505149978319905,35
21,1,0,1,1,17,4.6232492903979,74
21,1,0,1,2,19,4.653212513775343,68
18,1,0,1,2,17,4.079181246047624,104
15,1,0,1,1,21,4.744292983122676,67
19,1,0,1,1,19,4.788875115775416,83
22,0,1,1,1,21,5.1760912590556805,74
22,1,0,0,1,19,4.857332496431268,82
23,0,1,1,1,19,5.0413926851582245,89
15,1,0,1,2,21,4.886490725172481,67
16,0,1,1,2,22,5.0,90
25,1,1,1,1,21,4.0,82
22,1,1,1,3,21,5.0,73
24,1,1,1,1,21,4.544068044350275,83
20,0,1,0,2,13,4.845098040014256,120
26,1,1,1,2,16,3.6989700043360187,95
23,1,1,1,1,19,4.577491799837225,121
16,1,1,1,1,17,5.056904851336473,160
16,1,1,1,1,22,4.681241237375587,65
25,0,1,1,1,13,4.505149978319905,155
22,0,1,1,1,22,5.0,69
19,0,1,1,2,19,5.1760912590556805,126
19,0,1,1,1,19,4.838849090737255,89
15,1,1,1,2,11,5.0,138
26,1,1,1,1,21,4.113943352306836,67
22,0,1,1,1,21,4.778151250383643,88
23,1,1,1,1,21,4.602059991327962,83
23,1,1,1,1,21,4.544068044350275,67
20,0,1,1,3,18,4.845098040014256,84
22,0,1,1,1,19,4.698970004336019,126
23,0,1,1,1,16,4.881607168546986,99
18,0,1,1,4,21,5.243038048686294,74
24,1,1,1,1,20,4.3979400086720375,67
21,1,1,1,2,21,4.602059991327962,67
14,1,1,1,4,21,4.812913356642856,46
19,0,1,1,2,21,4.954242509439324,89
15,1,1,1,2,19,4.903089986991943,62
21,0,1,1,2,21,5.0413926851582245,89
25,1,0,1,1,14,3.1149444157125843,87
24,1,0,0,1,15,4.698970004336019,177
25,1,0,0,1,3,4.278753600952828,141
23,1,0,0,1,14,4.6127838567197355,118
19,1,0,0,1,11,4.591064607026499,138
21,0,0,1,1,21,4.602059991327962,88
16,1,0,0,2,9,4.858537197569639,150
22,1,0,1,1,19,4.698100545623389,148
24,1,0,1,1,22,4.0413926851582245,108
17,1,1,1,1,17,4.690196080028513,104
18,1,1,1,1,19,4.977723605288848,148
22,1,0,0,1,15,4.0413926851582245,104
20,1,0,1,1,21,4.663700925389648,94
23,1,0,0,1,14,4.255272505103306,116
25,1,0,0,1,11,3.9847072944826727,82
17,1,0,1,1,21,4.0413926851582245,67
18,1,0,1,1,21,4.385606273598311,82
22,0,0,0,2,11,4.624931504412577,172
24,0,0,0,1,22,3.9030899869919433,108
22,1,0,0,1,11,4.6127838567197355,158
15,1,0,0,1,11,4.8512583487190755,165
22,1,1,1,1,21,4.30102999566398,91
17,0,1,1,2,17,5.0,104
24,1,1,1,1,16,3.977723605288847,87
17,0,1,1,1,16,5.079181246047624,68
21,1,1,1,1,21,4.56348108539441,82
21,1,1,0,2,21,4.698970004336019,67
5,1,1,1,2,21,4.602059991327962,37
16,0,1,1,1,21,5.079181246047624,74
21,1,1,1,1,19,4.845098040014256,82
20,1,1,1,1,21,4.544068044350275,86
22,1,1,1,2,19,4.643452676486187,82
11,1,1,1,2,14,5.079181246047624,100
16,0,1,1,1,11,4.778151250383643,87
6,1,1,1,1,29,4.778151250383643,53
20,0,1,1,2,11,4.477121254719662,168
22,1,1,1,2,13,4.176091259055681,82
23,0,1,1,1,22,4.954242509439324,74
15,1,1,1,2,14,4.672097857935717,118
11,1,1,1,1,21,4.954242509439324,60
16,1,1,1,2,21,5.081347307804132,67
16,1,1,1,3,19,5.0,103
22,1,1,1,2,21,4.778151250383643,83
11,1,1,1,1,19,4.934498451243567,83
26,1,1,1,1,19,3.6989700043360187,82
23,0,1,1,1,21,4.568201724066994,88
25,1,1,1,1,22,4.146128035678237,84
21,0,1,1,1,21,4.845098040014256,89
21,1,1,1,1,14,4.698970004336019,117
20,1,1,1,2,14,4.778151250383643,87
22,2,1,1,1,21,4.698970004336019,58
23,1,1,1,1,21,4.698970004336019,83
19,1,1,1,1,19,4.845098040014256,83
24,1,1,0,1,21,4.544068044350275,67
23,1,1,1,1,21,4.30102999566398,82
24,1,1,1,1,21,4.30102999566398,47
24,1,1,0,1,21,3.89209460269048,82
23,1,1,1,1,21,4.30102999566398,82
19,1,1,1,2,19,4.49661141771717,83
24,0,1,1,1,21,4.698970004336019,74
21,1,1,1,1,21,4.778151250383643,67
18,1,1,0,1,11,5.0,138
18,1,1,1,1,14,4.778151250383643,87
24,1,1,0,1,21,3.6989700043360187,83
23,0,1,1,1,22,4.778151250383643,148
17,1,1,1,2,21,4.3979400086720375,46
24,1,1,1,1,20,4.477121254719662,53
23,1,1,1,2,23,4.903089986991943,67
23,0,1,1,1,21,4.875061263391699,88
26,1,1,1,1,19,4.505149978319905,82
21,1,1,1,1,21,4.602059991327962,47
18,1,1,1,2,19,4.968482948553935,80
24,1,1,1,1,22,4.778151250383643,89
24,1,1,1,1,16,4.176091259055681,121
21,1,1,1,1,18,4.903089986991943,67
22,1,1,1,1,21,5.146128035678237,67
19,0,1,1,1,13,4.845098040014256,162
19,0,1,1,2,13,5.079181246047624,100
16,0,1,1,2,21,5.0413926851582245,74
23,0,1,1,1,19,4.568201724066994,126
22,1,1,1,1,20,4.643452676486187,53
21,0,1,1,1,21,4.903089986991943,89
21,0,1,1,1,13,5.096910013008055,140
23,1,1,1,1,21,4.130333768495006,73
17,1,1,1,1,19,4.875061263391699,62
13,1,1,1,2,19,5.079181246047624,94
18,0,1,1,1,13,5.079181246047624,140
19,0,1,1,1,21,4.845098040014256,74
25,1,1,0,1,14,4.176091259055681,89
15,1,1,1,2,19,4.724275869600789,79
20,0,1,1,2,21,5.079181246047624,74
22,0,1,1,1,21,4.845098040014256,88
14,1,1,1,2,19,5.079181246047624,83
18,1,1,1,2,19,5.0,80
21,1,1,1,1,21,5.0,83
23,0,1,1,1,19,4.591064607026499,89
23,0,1,1,1,21,4.875061263391699,74
23,0,1,0,1,22,4.698970004336019,154
25,0,1,1,1,13,4.602059991327962,121
19,0,1,1,1,19,4.9661417327390325,126
18,0,1,1,1,21,5.198657086954422,74
18,0,1,1,1,21,5.079181246047624,74
21,0,1,1,2,14,4.698970004336019,99
18,0,1,1,1,21,5.0413926851582245,74
23,0,1,1,2,19,3.301029995663981,74
17,0,1,1,2,11,5.257678574869184,171
22,0,1,1,1,22,4.845098040014256,69
19,1,1,0,2,18,4.954242509439324,100
25,1,1,1,1,19,3.301029995663981,82
21,1,1,1,1,21,4.30102999566398,83
23,0,1,1,1,13,4.544068044350275,105
18,0,1,1,1,21,5.285557309007773,74
20,1,1,1,1,21,4.903089986991943,82
25,1,1,1,1,23,4.602059991327962,67
21,0,1,1,4,19,4.845098040014256,89
17,0,1,1,1,13,5.0876323696197465,120
23,0,1,1,1,22,5.079181246047624,69
21,1,1,1,1,22,4.602059991327962,89
14,1,1,1,3,19,4.978636948384474,94
20,1,0,1,1,14,4.518948017357205,87
21,1,0,0,1,19,4.7997746269329005,82
18,0,1,1,1,22,4.778151250383643,89
11,1,1,1,2,21,4.653212513775343,46
17,0,1,1,3,22,4.903089986991943,138
13,0,1,1,2,13,5.317833599243588,63
22,1,1,1,1,21,4.544068044350275,34
23,1,1,1,1,19,4.544068044350275,82
19,1,1,0,1,19,4.698970004336019,79
22,1,1,1,1,21,4.30102999566398,82
17,1,1,0,1,19,4.30102999566398,79
18,1,1,1,2,21,4.698970004336019,86
20,0,1,1,1,13,5.079181246047624,62
20,1,1,1,1,19,4.845098040014256,121
21,1,1,1,1,19,4.698970004336019,82
25,1,1,1,1,21,4.217483944213906,82
16,1,1,1,1,19,4.845098040014256,80
11,1,1,1,2,21,4.997215953729208,46
23,0,1,1,1,21,4.3979400086720375,74
20,1,1,1,2,21,4.845098040014256,86
18,1,1,1,3,26,4.778151250383643,79
24,1,1,0,1,22,4.0,84
12,1,1,1,1,21,4.903089986991943,37
23,0,1,1,1,14,4.477121254719662,98
23,0,1,1,1,14,4.518513939877887,98
19,1,1,1,3,21,4.954242509439324,94
20,0,1,1,2,18,4.903632516084238,108
20,1,1,1,1,14,5.079181246047624,117
19,0,1,1,2,11,5.204119982655924,101
23,1,1,1,1,21,4.672097857935717,67
24,0,1,1,1,19,4.3979400086720375,89
23,1,1,1,1,22,4.414973347970817,84
24,0,1,1,1,19,4.462397997898956,74
22,1,1,0,1,21,4.698970004336019,83
17,1,1,1,3,21,4.763427993562937,88
18,1,1,0,1,21,5.079181246047624,86
16,1,1,1,4,19,4.903089986991943,80
9,1,1,1,4,21,4.778151250383643,60
23,1,1,1,1,21,4.556302500767287,67
13,0,1,1,3,11,5.079181246047624,102
17,0,1,1,3,21,5.267171728403014,74
17,0,1,1,1,18,4.698970004336019,63
8,1,1,1,4,21,5.0,60
19,1,1,1,2,19,4.698970004336019,121
13,1,1,1,2,21,4.903089986991943,67
11,1,1,1,4,21,4.903089986991943,46
17,0,1,1,4,21,4.954242509439324,74
16,1,1,1,2,21,5.20951501454263,66
19,0,1,1,3,21,5.0413926851582245,89
14,0,1,1,3,21,5.079181246047624,75
17,0,1,1,1,18,4.653212513775343,63
11,1,1,1,2,21,4.954242509439324,67
16,0,1,1,2,16,4.954242509439324,68
25,1,0,1,1,13,4.217483944213906,110
23,0,1,0,1,19,4.826074802700826,126
24,1,0,1,1,21,4.716003343634799,82
22,1,0,1,1,23,4.602059991327962,67
21,1,0,1,1,19,4.602059991327962,82
24,1,0,1,1,20,4.113943352306836,53
18,1,0,1,1,14,4.602059991327962,87
25,1,0,1,1,17,4.0,74
18,1,0,1,1,18,3.9542425094393248,98
15,1,0,1,1,19,4.778151250383643,79
20,0,0,1,1,20,4.602059991327962,84
18,0,0,1,1,13,4.968482948553935,140
14,0,1,1,4,11,4.903089986991943,102
17,1,1,1,2,22,4.698970004336019,64
19,1,0,0,1,19,4.832508912706236,148
19,0,1,0,1,8,4.3979400086720375,170
18,1,0,1,1,22,4.255272505103306,38
19,0,1,1,1,18,5.079181246047624,63
11,1,1,1,1,21,4.544068044350275,67
22,0,1,1,2,21,4.778151250383643,74
22,1,1,1,1,20,4.477121254719662,53
22,1,1,0,1,17,4.845098040014256,189
21,0,1,1,1,22,5.0413926851582245,148
22,1,0,0,1,11,4.833076955889738,158
19,1,0,1,1,21,4.76598875680402,67
24,0,0,1,1,21,4.589021967585276,74
22,1,0,1,1,14,4.752002325602438,89
19,0,0,1,2,11,4.899426505087727,101
25,1,0,0,1,21,3.7498135852929373,82
23,1,0,1,1,11,4.40718688263082,89
24,1,0,0,1,21,4.8437247413002,82
23,0,0,1,1,19,4.750431248660202,74
25,1,0,0,1,14,3.8470788620657146,89
16,1,1,1,3,19,5.0253058652647695,79
15,1,1,0,2,14,5.079181246047624,159
21,0,1,1,1,21,4.954242509439324,74
20,0,1,1,3,19,4.845098040014256,126
11,0,1,1,3,11,5.3802112417116055,102
18,0,1,1,2,21,5.0,89
15,1,1,1,2,19,5.33041377334919,103
15,0,1,1,2,19,5.33041377334919,110
22,1,1,1,1,21,4.698970004336019,47
24,1,1,0,1,14,2.9999999999999996,118
23,0,1,0,1,21,4.278753600952828,74
18,0,1,1,2,22,5.423245873936807,70
26,2,1,1,1,21,4.544068044350275,62
20,1,1,1,2,21,4.903089986991943,67
22,0,1,0,1,13,4.698970004336019,140
16,1,1,1,1,21,4.903089986991943,67
19,1,1,1,2,19,4.698970004336019,55
24,1,1,1,1,22,5.0,84
19,1,1,1,2,21,5.079181246047624,73
25,0,1,0,1,14,4.602059991327962,79
16,1,1,1,2,21,4.903089986991943,46
21,0,1,1,2,11,5.079181246047624,101
19,0,1,1,1,11,4.826074802700826,67
23,0,1,1,1,21,4.698970004336019,74
14,0,1,1,2,11,5.127104798364807,102
17,0,1,1,2,18,5.0413926851582245,63
15,1,1,1,1,21,4.602059991327962,37
19,0,1,1,2,21,5.079181246047624,74
21,0,1,1,2,17,5.0413926851582245,89
17,0,1,1,2,13,5.230448921378273,64
10,1,1,1,2,21,4.903089986991943,37
22,0,1,1,1,21,4.672097857935717,74
21,1,1,1,1,19,4.968482948553935,82
16,1,1,1,2,21,4.845098040014256,37
20,1,1,1,1,21,4.698970004336019,67
21,0,1,1,1,16,4.845098040014256,68
18,0,1,1,1,22,4.903089986991943,138
22,1,1,1,1,16,4.643452676486187,87
20,1,1,1,1,21,4.3979400086720375,67
22,1,1,1,1,19,4.3979400086720375,121
25,1,1,1,1,21,4.0,82
24,0,1,1,1,22,4.698970004336019,154
24,0,1,1,1,16,4.477121254719662,99
21,0,1,1,2,19,4.698970004336019,89
18,0,1,1,1,19,5.079181246047624,89
21,0,1,1,1,13,4.903089986991943,62
21,0,1,1,1,18,4.954242509439324,84
21,1,1,1,2,21,4.698970004336019,83
26,1,1,1,1,23,3.3296012483565187,67
