year,fuel,seller_type,transmission,owner,brand,km_dr_gr,mpow_val
19,0,1,1,2,19,4.939519252618618,126
22,0,0,1,2,11,4.778151250383643,148
24,0,1,1,1,16,4.954242509439324,99
24,0,0,1,1,21,4.717670503002262,74
19,0,0,0,1,19,4.806179973983887,113
24,0,1,1,1,13,4.176091259055681,140
19,1,1,1,4,21,4.778151250383643,47
22,1,1,1,1,21,3.9956351945975492,67
24,1,1,1,1,21,4.0,83
13,1,1,1,2,21,5.0413926851582245,46
16,1,0,1,1,19,4.698970004336019,79
23,1,1,0,1,21,5.079181246047624,82
16,1,1,1,3,19,5.0253058652647695,79
18,1,0,1,1,14,4.6918326757250455,116
23,1,1,1,1,21,4.763427993562937,47
20,0,0,1,1,19,4.626463554010928,71
18,0,1,1,1,22,5.079181246047624,89
19,1,1,1,2,21,5.079181246047624,73
18,0,1,1,2,19,5.301029995663981,126
13,1,1,1,2,21,4.903089986991943,64
14,0,1,1,3,11,5.187520720836463,102
23,1,1,1,1,14,4.4471580313422185,117
23,0,1,1,2,13,4.6232492903979,140
14,0,1,1,3,22,4.778151250383643,70
16,1,1,0,3,19,5.0413926851582245,79
20,0,1,1,2,13,4.977723605288848,118
24,1,0,0,1,21,4.367355921026018,83
14,0,1,1,2,19,5.079181246047624,110
19,0,1,1,1,21,4.778151250383643,74
22,1,1,1,1,22,4.130333768495006,84
10,0,1,1,3,22,4.778151250383643,70
23,0,1,1,1,21,5.029383777685209,74
23,2,1,1,1,21,4.778151250383643,62
18,0,1,1,2,22,5.079181246047624,70
23,1,1,1,1,23,4.544068044350275,67
22,1,1,1,1,23,4.6232492903979,67
16,0,1,1,2,11,5.397940008672037,102
17,0,1,1,1,11,5.2944662261615925,102
16,0,1,1,3,21,4.806179973983887,74
12,1,1,1,2,14,5.079181246047624,78
19,0,1,1,2,19,4.845098040014256,89
19,1,1,0,2,18,4.954242509439324,100
20,0,1,1,2,13,4.903089986991943,62
4,1,1,1,3,21,4.903089986991943,60
11,0,1,1,3,13,5.477121254719662,63
15,1,1,1,2,19,4.845098040014256,79
16,2,1,1,2,21,5.230448921378273,33
21,0,1,1,1,19,4.845098040014256,71
22,0,1,1,1,19,4.602059991327962,89
16,1,1,1,1,19,5.0413926851582245,79
25,0,1,1,1,13,4.477121254719662,62
23,1,1,1,1,23,4.477121254719662,67
21,1,0,1,1,21,4.875061263391699,82
13,0,1,1,2,22,5.0413926851582245,54
15,0,1,1,2,22,4.778151250383643,53
22,1,1,1,1,21,4.176091259055681,47
24,1,1,1,1,16,4.113943352306836,95
19,0,1,1,1,17,4.903089986991943,74
25,1,1,1,1,23,4.0,67
22,0,1,1,1,13,5.079181246047624,63
23,0,0,1,1,21,4.845098040014256,88
18,0,1,0,2,26,4.698970004336019,184
21,0,1,1,1,14,5.0413926851582245,99
9,1,1,1,3,16,4.602059991327962,92
15,0,1,1,1,22,4.845098040014256,69
25,1,1,1,1,22,4.30102999566398,84
15,0,1,1,2,26,5.290034611362517,80
8,1,1,1,2,21,4.845098040014256,37
22,0,1,1,2,20,4.903089986991943,108
16,1,1,1,2,14,4.929418925714292,118
23,0,1,1,1,22,5.1760912590556805,154
14,0,1,1,2,22,5.253216812502129,138
21,0,1,1,1,19,5.161368002234974,126
18,0,1,1,1,21,5.198657086954422,74
20,1,0,1,1,19,4.857332496431268,82
17,0,1,1,2,19,5.195899652409233,126
22,1,1,1,2,21,4.845098040014256,34
23,0,0,0,1,21,4.477121254719662,74
18,0,1,1,1,13,4.698970004336019,112
19,0,1,1,2,21,5.079181246047624,89
18,1,1,1,2,16,4.929418925714292,70
18,1,1,1,1,14,4.778151250383643,87
22,0,1,1,1,13,5.0413926851582245,100
23,0,1,1,2,21,5.0,88
18,0,1,1,2,19,4.698970004336019,89
13,1,0,1,2,21,4.728451182944577,46
